dataset,train_shot,test_shot,loss,epochs,trials,silent,split,lr_predictor,lr_target,test_batch,save_data,full_test,gpu,accuracy,duration_sec
customer,1,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,0.53,10.35723638534546
customer,1,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,0.55,5.920083999633789
customer,1,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,0.545,6.262069225311279
customer,1,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,0.525,6.039617538452148
customer,1,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,0.51,5.9844934940338135
customer,1,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,0.51,6.323577404022217
customer,1,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,0.525,6.005753517150879
customer,1,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,0.51,5.858661890029907
customer,1,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,0.515,6.010752201080322
customer,10,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,0.635,45.35507607460022
customer,10,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,0.575,42.62727570533752
customer,10,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,0.57,42.21024203300476
customer,10,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,0.55,41.08386921882629
customer,10,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,0.495,41.14015698432922
customer,10,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,0.495,40.99454855918884
customer,10,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,0.545,44.18502998352051
customer,10,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,0.485,43.30511021614075
customer,10,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,0.47,43.73746705055237
customer,50,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,0.615,240.4682047367096
customer,50,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,0.58,235.1890006065369
customer,50,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,0.575,246.0892667770385
customer,50,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,0.565,243.1156280040741
customer,50,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,0.57,236.6209752559662
customer,50,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,0.56,224.9349019527436
customer,50,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,0.56,228.891004562378
customer,50,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,0.535,229.57133412361145
customer,50,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,0.555,230.26297307014465
customer,100,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,0.605,471.276296377182
customer,100,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,0.635,468.0268540382385
customer,100,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,0.65,470.8351595401764
customer,100,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,0.575,483.5372631549835
customer,100,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,0.59,450.5708367824554
customer,100,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,0.565,475.2184550762177
customer,100,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,0.605,485.8876030445099
customer,100,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,0.55,483.328165769577
customer,100,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,0.525,485.74362540245056
customer,300,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,0.595,1455.8112120628357
customer,300,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,0.57,1340.2716884613037
customer,300,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,0.57,1353.430824995041
customer,300,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,0.73,1349.8424181938171
customer,300,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,0.72,1401.7433242797852
customer,300,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,0.685,1415.8138315677645
customer,300,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,0.63,1482.6314256191254
customer,300,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,0.685,1407.05819439888
customer,300,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,0.665,1370.3999025821686
